billing_id,customer_key,billing_date,billing_type,consumption_kwh,amount,payment_status
1,1,2023-01-15,Electricity,509,199.0,Offen
2,1,2023-02-15,Electricity,557,187.04,Bezahlt
3,1,2023-03-15,Electricity,428,141.16,Bezahlt
4,1,2023-04-15,Electricity,381,144.8,Bezahlt
5,1,2023-05-15,Electricity,488,197.67,Offen
6,1,2023-06-15,Electricity,349,125.82,Bezahlt
7,1,2023-07-15,Electricity,268,111.11,Bezahlt
8,1,2023-08-15,Electricity,341,131.08,Bezahlt
9,1,2023-09-15,Electricity,490,206.46,Bezahlt
10,1,2023-10-15,Electricity,500,204.26,Bezahlt
11,1,2023-11-15,Electricity,571,230.06,Bezahlt
12,1,2023-12-15,Electricity,665,275.1,Bezahlt
13,1,2024-01-15,Electricity,664,234.95,Offen
14,1,2024-02-15,Electricity,498,164.84,Bezahlt
15,1,2024-03-15,Electricity,563,189.45,Bezahlt
16,1,2024-04-15,Electricity,467,194.64,Bezahlt
17,1,2024-05-15,Electricity,424,142.16,Bezahlt
18,1,2024-06-15,Electricity,349,126.87,Bezahlt
19,1,2024-07-15,Electricity,339,132.11,Bezahlt
20,1,2024-08-15,Electricity,290,101.05,Bezahlt
21,1,2024-09-15,Electricity,388,133.13,Bezahlt
22,1,2024-10-15,Electricity,459,160.09,Bezahlt
23,1,2024-11-15,Electricity,599,203.24,Bezahlt
24,1,2024-12-15,Electricity,594,196.72,Bezahlt
25,1,2025-01-15,Electricity,501,207.3,Bezahlt
26,1,2025-02-15,Electricity,564,182.54,Bezahlt
27,1,2025-03-15,Electricity,462,174.39,Bezahlt
28,1,2025-04-15,Electricity,474,155.9,Bezahlt
29,1,2025-05-15,Electricity,413,143.7,Bezahlt
30,1,2025-06-15,Electricity,366,140.25,Bezahlt
31,2,2023-01-15,Electricity,512,188.15,Bezahlt
32,2,2023-02-15,Electricity,453,180.99,Bezahlt
33,2,2023-03-15,Electricity,460,164.43,Bezahlt
34,2,2023-04-15,Electricity,374,137.68,Bezahlt
35,2,2023-05-15,Electricity,421,163.07,Bezahlt
36,2,2023-06-15,Electricity,273,101.2,Bezahlt
37,2,2023-07-15,Electricity,253,91.26,Bezahlt
38,2,2023-08-15,Electricity,309,108.7,Bezahlt
39,2,2023-09-15,Electricity,360,153.16,Bezahlt
40,2,2023-10-15,Electricity,395,134.65,Bezahlt
41,2,2023-11-15,Electricity,422,168.24,Bezahlt
42,2,2023-12-15,Electricity,546,212.89,Bezahlt
43,2,2024-01-15,Electricity,436,151.02,Bezahlt
44,2,2024-02-15,Electricity,584,217.04,Bezahlt
45,2,2024-03-15,Electricity,427,157.31,Bezahlt
46,2,2024-04-15,Electricity,431,142.32,Offen
47,2,2024-05-15,Electricity,446,163.42,Bezahlt
48,2,2024-06-15,Electricity,312,120.57,Bezahlt
49,2,2024-07-15,Electricity,258,107.96,Bezahlt
50,2,2024-08-15,Electricity,242,103.68,Bezahlt
51,2,2024-09-15,Electricity,340,148.35,Bezahlt
52,2,2024-10-15,Electricity,436,149.22,Bezahlt
53,2,2024-11-15,Electricity,427,178.64,Bezahlt
54,2,2024-12-15,Electricity,619,237.73,Bezahlt
55,2,2025-01-15,Electricity,447,172.73,Bezahlt
56,2,2025-02-15,Electricity,563,226.81,Bezahlt
57,2,2025-03-15,Electricity,467,196.22,Offen
58,2,2025-04-15,Electricity,368,134.06,Bezahlt
59,2,2025-05-15,Electricity,364,123.47,Offen
60,2,2025-06-15,Electricity,328,112.07,Bezahlt
61,3,2023-01-15,Electricity,476,202.18,Bezahlt
62,3,2023-02-15,Electricity,527,181.74,Bezahlt
63,3,2023-03-15,Electricity,421,164.18,Bezahlt
64,3,2023-04-15,Electricity,351,147.12,Bezahlt
65,3,2023-05-15,Electricity,338,118.55,Bezahlt
66,3,2023-06-15,Electricity,315,127.6,Bezahlt
67,3,2023-07-15,Electricity,250,94.94,Bezahlt
68,3,2023-08-15,Electricity,246,110.21,Bezahlt
69,3,2023-09-15,Electricity,356,122.09,Überfällig
70,3,2023-10-15,Electricity,331,138.76,Bezahlt
71,3,2023-11-15,Electricity,414,177.56,Bezahlt
72,3,2023-12-15,Electricity,476,175.43,Bezahlt
73,3,2024-01-15,Electricity,438,179.24,Bezahlt
74,3,2024-02-15,Electricity,448,147.76,Überfällig
75,3,2024-03-15,Electricity,422,171.43,Bezahlt
76,3,2024-04-15,Electricity,420,143.07,Bezahlt
77,3,2024-05-15,Electricity,352,151.51,Bezahlt
78,3,2024-06-15,Electricity,310,129.02,Bezahlt
79,3,2024-07-15,Electricity,242,92.54,Bezahlt
80,3,2024-08-15,Electricity,240,98.64,Bezahlt
81,3,2024-09-15,Electricity,375,125.0,Bezahlt
82,3,2024-10-15,Electricity,385,143.72,Bezahlt
83,3,2024-11-15,Electricity,391,130.22,Bezahlt
84,3,2024-12-15,Electricity,461,152.6,Bezahlt
85,3,2025-01-15,Electricity,431,182.75,Bezahlt
86,3,2025-02-15,Electricity,485,158.13,Bezahlt
87,3,2025-03-15,Electricity,439,165.28,Bezahlt
88,3,2025-04-15,Electricity,325,137.08,Bezahlt
89,3,2025-05-15,Electricity,327,122.19,Bezahlt
90,3,2025-06-15,Electricity,284,115.76,Bezahlt
91,4,2023-01-15,Electricity,224,102.02,Bezahlt
92,4,2023-01-15,Gas,874,93.7,Bezahlt
93,4,2023-02-15,Electricity,240,98.78,Offen
94,4,2023-02-15,Gas,949,104.54,Bezahlt
95,4,2023-03-15,Electricity,182,79.57,Bezahlt
96,4,2023-03-15,Gas,608,66.83,Bezahlt
97,4,2023-04-15,Electricity,158,63.85,Bezahlt
98,4,2023-04-15,Gas,397,49.07,Offen
99,4,2023-05-15,Electricity,151,62.73,Bezahlt
100,4,2023-05-15,Gas,238,30.69,Bezahlt
101,4,2023-06-15,Electricity,132,59.21,Bezahlt
102,4,2023-06-15,Gas,94,20.36,Bezahlt
103,4,2023-07-15,Electricity,108,55.23,Bezahlt
104,4,2023-07-15,Gas,87,17.03,Bezahlt
105,4,2023-08-15,Electricity,99,47.93,Bezahlt
106,4,2023-08-15,Gas,80,16.25,Offen
107,4,2023-09-15,Electricity,185,74.75,Bezahlt
108,4,2023-09-15,Gas,155,24.01,Bezahlt
109,4,2023-10-15,Electricity,162,72.42,Bezahlt
110,4,2023-10-15,Gas,352,45.73,Bezahlt
111,4,2023-11-15,Electricity,218,85.58,Bezahlt
112,4,2023-11-15,Gas,769,96.87,Bezahlt
113,4,2023-12-15,Electricity,264,117.32,Bezahlt
114,4,2023-12-15,Gas,751,79.19,Bezahlt
115,4,2024-01-15,Electricity,225,96.93,Überfällig
116,4,2024-01-15,Gas,908,126.43,Bezahlt
117,4,2024-02-15,Electricity,233,95.77,Offen
118,4,2024-02-15,Gas,891,109.84,Bezahlt
119,4,2024-03-15,Electricity,161,61.07,Bezahlt
120,4,2024-03-15,Gas,772,102.26,Bezahlt
121,4,2024-04-15,Electricity,169,73.2,Bezahlt
122,4,2024-04-15,Gas,360,50.28,Bezahlt
123,4,2024-05-15,Electricity,176,75.02,Bezahlt
124,4,2024-05-15,Gas,229,31.81,Bezahlt
125,4,2024-06-15,Electricity,141,68.38,Bezahlt
126,4,2024-06-15,Gas,118,21.98,Bezahlt
127,4,2024-07-15,Electricity,116,52.48,Bezahlt
128,4,2024-07-15,Gas,75,17.24,Bezahlt
129,4,2024-08-15,Electricity,104,53.05,Bezahlt
130,4,2024-08-15,Gas,76,17.13,Offen
131,4,2024-09-15,Electricity,186,78.01,Bezahlt
132,4,2024-09-15,Gas,127,23.88,Bezahlt
133,4,2024-10-15,Electricity,143,63.74,Bezahlt
134,4,2024-10-15,Gas,354,47.03,Bezahlt
135,4,2024-11-15,Electricity,190,81.74,Bezahlt
136,4,2024-11-15,Gas,719,92.27,Bezahlt
137,4,2024-12-15,Electricity,236,89.21,Offen
138,4,2024-12-15,Gas,871,100.29,Bezahlt
139,4,2025-01-15,Electricity,239,84.76,Überfällig
140,4,2025-01-15,Gas,977,103.97,Bezahlt
141,4,2025-02-15,Electricity,202,91.87,Bezahlt
142,4,2025-02-15,Gas,937,125.24,Bezahlt
143,4,2025-03-15,Electricity,206,80.84,Bezahlt
144,4,2025-03-15,Gas,805,99.85,Bezahlt
145,4,2025-04-15,Electricity,165,68.32,Bezahlt
146,4,2025-04-15,Gas,427,55.44,Bezahlt
147,4,2025-05-15,Electricity,167,75.18,Bezahlt
148,4,2025-05-15,Gas,220,30.22,Bezahlt
149,4,2025-06-15,Electricity,117,54.28,Bezahlt
150,4,2025-06-15,Gas,104,19.95,Bezahlt
151,5,2023-01-15,Electricity,545,209.77,Überfällig
152,5,2023-02-15,Electricity,458,194.45,Bezahlt
153,5,2023-03-15,Electricity,380,126.83,Bezahlt
154,5,2023-04-15,Electricity,348,120.28,Bezahlt
155,5,2023-05-15,Electricity,425,160.42,Offen
156,5,2023-06-15,Electricity,275,114.81,Überfällig
157,5,2023-07-15,Electricity,260,110.11,Bezahlt
158,5,2023-08-15,Electricity,242,96.13,Bezahlt
159,5,2023-09-15,Electricity,417,165.5,Bezahlt
160,5,2023-10-15,Electricity,402,145.43,Bezahlt
161,5,2023-11-15,Electricity,510,196.31,Bezahlt
162,5,2023-12-15,Electricity,577,205.65,Bezahlt
163,5,2024-01-15,Electricity,444,174.1,Bezahlt
164,5,2024-02-15,Electricity,425,153.85,Bezahlt
165,5,2024-03-15,Electricity,473,194.09,Bezahlt
166,5,2024-04-15,Electricity,336,133.9,Bezahlt
167,5,2024-05-15,Electricity,386,129.0,Bezahlt
168,5,2024-06-15,Electricity,252,104.62,Bezahlt
169,5,2024-07-15,Electricity,227,98.67,Bezahlt
170,5,2024-08-15,Electricity,244,91.74,Bezahlt
171,5,2024-09-15,Electricity,366,155.62,Bezahlt
172,5,2024-10-15,Electricity,404,150.34,Bezahlt
173,5,2024-11-15,Electricity,395,137.98,Bezahlt
174,5,2024-12-15,Electricity,485,189.03,Offen
175,5,2025-01-15,Electricity,495,174.98,Bezahlt
176,5,2025-02-15,Electricity,524,202.62,Bezahlt
177,5,2025-03-15,Electricity,423,149.75,Bezahlt
178,5,2025-04-15,Electricity,373,147.21,Bezahlt
179,5,2025-05-15,Electricity,411,152.1,Bezahlt
180,5,2025-06-15,Electricity,293,127.82,Bezahlt
181,6,2023-01-15,Electricity,606,212.53,Bezahlt
182,6,2023-01-15,Gas,2696,274.5,Bezahlt
183,6,2023-02-15,Electricity,766,263.25,Bezahlt
184,6,2023-02-15,Gas,2473,231.69,Überfällig
185,6,2023-03-15,Electricity,606,194.43,Bezahlt
186,6,2023-03-15,Gas,1632,167.7,Bezahlt
187,6,2023-04-15,Electricity,591,248.08,Bezahlt
188,6,2023-04-15,Gas,1201,142.09,Bezahlt
