cancellation_id,customer_key,product_key,cancellation_date,reason,channel,retention_offered,retention_accepted
1,14,6,2025-06-04,Unzufriedenheit,Telefon,False,False
2,122,6,2024-11-22,Unzufriedenheit,Email,False,False
3,207,7,2024-02-29,Unzufriedenheit,Email,False,False
4,407,8,2023-11-13,Nicht mehr benötigt,Email,False,False
5,413,7,2024-05-29,Sonstiges,App,False,False
6,456,8,2023-02-10,Umzug,Brief,True,False
7,610,6,2024-05-15,Nicht mehr benötigt,App,True,False
8,739,6,2024-08-01,Unzufriedenheit,Telefon,True,True
9,767,7,2023-11-23,Unzufriedenheit,Email,True,False
10,909,7,2025-08-20,Umzug,Email,True,False
11,915,8,2024-07-31,Nicht mehr benötigt,Email,True,False
12,1010,6,2025-12-30,Umzug,App,True,False
13,1016,6,2023-09-03,Preiserhöhung,Email,True,True
14,1093,7,2023-07-01,Nicht mehr benötigt,Email,True,True
15,1099,7,2025-05-09,Nicht mehr benötigt,Email,True,False
16,1174,6,2023-01-06,Umzug,Brief,True,False
17,1212,8,2025-08-08,Nicht mehr benötigt,App,True,False
18,1296,7,2023-07-31,Preiserhöhung,App,True,False
19,1430,8,2024-04-07,Unzufriedenheit,App,True,False
20,1471,8,2023-07-21,Umzug,Email,True,False
21,1504,8,2023-11-29,Preiserhöhung,App,True,False
22,1749,7,2025-04-24,Umzug,App,False,False
23,1904,6,2025-05-08,Umzug,Telefon,False,False
24,1943,6,2025-06-15,Umzug,Telefon,True,False
25,2099,8,2023-11-17,Umzug,Brief,True,True
26,2113,7,2025-07-02,Umzug,App,True,False
27,2162,6,2023-08-09,Umzug,App,True,False
28,2443,7,2023-01-08,Umzug,Email,True,False
29,2474,7,2025-04-24,Umzug,App,False,False
30,2641,7,2025-09-15,Nicht mehr benötigt,Telefon,True,False
31,2685,8,2023-03-27,Nicht mehr benötigt,Telefon,True,False
32,2710,6,2023-04-02,Unzufriedenheit,Email,True,False
33,2882,8,2023-04-08,Nicht mehr benötigt,Email,False,False
34,2907,8,2023-06-24,Nicht mehr benötigt,App,False,False
35,3020,7,2025-10-13,Unzufriedenheit,Telefon,True,False
