campaign_fact_id,date,campaign_key,product_key,channel_key,region_key,spend,leads_generated,impressions
1,2023-08-23,26,7,601,402,404.24,68,12746
2,2024-02-06,75,9,603,401,154.72,79,4878
3,2022-10-22,26,6,600,402,285.88,36,9667
4,2025-03-19,97,3,600,403,232.34,74,6101
5,2023-05-30,92,12,605,401,121.44,74,12360
6,2023-08-02,62,10,601,400,447.88,81,9559
7,2022-08-17,52,7,601,401,318.84,42,10586
8,2024-10-07,5,10,604,401,441.66,91,5223
9,2024-01-15,13,10,602,400,309.62,34,11975
10,2025-02-19,92,7,604,402,70.41,94,5938
11,2025-04-03,18,2,601,402,357.2,32,11801
12,2024-03-19,14,11,600,400,296.47,9,2121
13,2022-08-16,62,14,601,402,378.51,29,8086
14,2025-05-14,83,13,600,403,293.57,15,9493
15,2023-06-18,9,7,602,401,241.75,57,7862
16,2024-09-30,30,14,603,403,458.12,75,11334
17,2024-08-24,3,13,603,402,372.59,28,5250
18,2022-06-03,36,13,604,401,485.07,74,4622
19,2023-11-05,21,4,604,401,232.41,71,13658
20,2024-04-16,3,11,603,402,393.19,96,14041
21,2023-10-26,25,13,600,401,312.47,31,6140
22,2023-09-10,11,12,604,400,115.58,60,4963
23,2022-07-17,14,5,600,402,81.23,29,5149
24,2023-08-14,28,9,600,400,119.29,98,12215
25,2023-11-26,53,4,601,402,372.56,9,14032
26,2024-10-22,25,3,601,402,452.2,61,9425
27,2022-04-01,54,2,600,402,241.54,65,9183
28,2024-04-08,16,4,603,400,170.12,16,9662
29,2022-04-26,9,7,602,402,158.6,100,340
30,2022-12-28,78,10,605,400,318.28,8,11256
31,2023-06-11,15,12,605,403,423.16,34,204
32,2023-12-01,31,14,604,403,480.54,87,4366
33,2024-08-29,63,11,601,400,226.57,84,2079
34,2023-07-30,85,13,602,401,144.19,76,8049
35,2024-11-05,100,4,604,403,366.41,38,5575
36,2022-05-29,13,10,604,402,287.51,10,14740
37,2023-11-24,39,13,604,400,206.52,89,14826
38,2022-07-02,96,13,600,401,222.99,58,2630
39,2024-07-21,83,4,601,402,315.54,20,1044
40,2022-08-24,10,13,603,400,127.02,72,10991
41,2023-10-01,27,12,601,400,248.59,78,9443
42,2025-02-26,16,12,605,403,280.15,90,5963
43,2023-06-01,78,8,604,401,187.65,62,13414
44,2022-06-26,81,14,604,401,378.68,23,1368
45,2023-09-29,75,5,600,403,84.79,82,5400
46,2025-01-07,77,7,604,401,178.01,47,3251
47,2024-10-30,2,4,603,401,160.17,39,12920
48,2023-11-03,70,12,600,400,359.52,48,3480
49,2022-04-13,8,10,605,400,83.34,34,607
50,2022-01-09,6,8,601,400,98.09,27,4191
51,2024-10-25,88,10,604,403,212.92,88,863
52,2022-02-16,72,1,600,402,280.94,78,3224
53,2023-09-14,60,3,602,403,58.52,40,7096
54,2023-03-16,12,2,602,400,470.47,72,3288
55,2023-01-09,70,4,604,401,420.09,41,9825
56,2024-04-19,67,10,600,402,386.61,26,4379
57,2022-08-10,15,9,600,400,434.75,92,10054
58,2023-02-23,24,9,604,401,416.74,13,879
59,2022-07-04,25,3,602,401,250.72,42,13629
60,2024-07-03,67,14,603,400,484.33,28,14185
61,2022-10-12,29,14,605,402,349.55,67,7691
62,2022-12-09,30,6,602,402,70.6,16,14625
63,2024-11-27,70,2,600,402,77.93,62,14686
64,2024-07-13,80,7,603,403,59.76,60,4663
65,2025-03-05,37,10,603,402,194.69,62,1772
66,2025-02-12,95,1,605,402,353.49,6,562
67,2023-11-12,8,15,602,402,313.53,18,5773
