sale_id,date,customer_key,product_key,sales_rep_key,region_key,vendor_key,amount,units
1,2025-09-09,1,7,212,403,8,21812.41,1
2,2022-02-09,2,7,492,401,131,16492.6,1
3,2023-06-19,3,8,259,400,159,25291.56,1
4,2024-10-22,5,7,358,401,87,21984.9,1
5,2024-06-20,7,6,364,401,197,14379.8,1
6,2024-08-30,8,8,199,403,15,26878.88,1
7,2022-09-03,12,7,418,401,52,20247.3,1
8,2022-05-02,13,7,26,403,151,16357.0,1
9,2025-06-03,14,6,356,403,87,12961.04,1
10,2023-09-20,15,6,129,402,183,14203.02,1
11,2024-05-01,17,8,73,403,138,29656.14,1
12,2022-10-19,18,6,27,402,122,15638.57,1
13,2025-11-12,23,6,133,401,93,15448.48,1
14,2024-07-06,24,7,474,401,62,16791.36,1
15,2024-02-02,26,7,3,400,114,20368.67,1
16,2025-01-02,28,8,6,401,56,29720.35,1
17,2022-08-16,30,7,86,401,39,19651.58,1
18,2023-05-10,33,8,436,400,94,28288.45,1
19,2025-09-20,34,7,330,402,64,19307.52,1
20,2022-09-28,35,7,249,403,153,17976.7,1
21,2025-06-16,36,7,209,402,37,16974.12,1
22,2022-09-05,39,7,104,402,145,18271.2,1
23,2024-05-25,41,6,216,402,50,13540.88,1
24,2023-01-30,42,7,178,400,187,19913.83,1
25,2023-09-29,43,7,189,400,179,21909.49,1
26,2023-03-14,44,8,8,402,123,24103.9,1
27,2023-03-10,46,7,251,402,65,19822.14,1
28,2023-03-11,48,7,34,400,50,21567.43,1
29,2023-01-24,49,7,438,402,94,20040.74,1
30,2023-02-26,50,8,189,400,89,27182.47,1
31,2024-10-08,51,8,283,401,66,28608.34,1
32,2023-09-01,52,7,152,402,146,19358.74,1
33,2023-07-02,54,8,40,401,21,29096.51,1
34,2023-09-09,55,6,203,402,122,15315.15,1
35,2025-06-25,57,6,176,400,88,15331.08,1
36,2022-03-22,59,6,281,403,30,14085.57,1
37,2023-08-13,61,7,150,400,39,18841.0,1
38,2022-12-26,63,7,200,403,175,21408.54,1
39,2025-07-06,65,6,258,401,74,13749.92,1
40,2022-02-09,66,6,233,400,47,15201.88,1
