opportunity_id,sale_id,account_id,opportunity_name,stage_name,amount,probability,close_date,created_date,lead_source,type,campaign_id
OPP00000001,,ACC011209,Opportunity 1,Interessent,4628.08,47.4,2022-05-13,2021-12-07,Telefonakquise,Bestandskunde - Upgrade,13738
OPP00000002,2,ACC018085,Opportunity 2,Closed Won,18065.83,100.0,2021-12-25,2021-10-28,Telefonakquise,Bestandskunde - Upgrade,5537
OPP00000003,,ACC007349,Opportunity 3,Angebot,3435.53,24.6,2023-11-10,2023-09-28,Webseite,Neukunde,15797
OPP00000004,,ACC014111,Opportunity 4,Angebot,42126.92,40.9,2023-06-10,2022-12-19,Partner,Bestandskunde - Upgrade,599
OPP00000005,,ACC006454,Opportunity 5,Angebot,29305.41,50.7,2022-01-20,2021-07-28,Webseite,Neukunde,11156
OPP00000006,6,ACC000454,Opportunity 6,Closed Won,861.39,100.0,2023-06-05,2023-04-18,Telefonakquise,Neukunde,12140
OPP00000007,,ACC015062,Opportunity 7,Angebot,34633.18,64.1,2023-06-14,2022-12-17,Webseite,Bestandskunde - Upgrade,108
OPP00000008,8,ACC016535,Opportunity 8,Closed Won,32461.55,100.0,2021-07-08,2021-06-07,Social Media,Bestandskunde - Zusatzprodukt,2339
OPP00000009,9,ACC017061,Opportunity 9,Closed Won,11749.05,100.0,2025-04-29,2024-12-02,Social Media,Bestandskunde - Zusatzprodukt,2430
OPP00000010,,ACC017759,Opportunity 10,Closed Lost,13597.48,0.0,2025-12-02,2025-06-28,Partner,Neukunde,12411
OPP00000011,,ACC002893,Opportunity 11,Qualifizierung,11376.87,22.3,2023-01-29,2022-08-12,Telefonakquise,Neukunde,
OPP00000012,,ACC000994,Opportunity 12,Qualifizierung,7338.81,17.8,2024-04-10,2024-03-06,Messe,Bestandskunde - Zusatzprodukt,4227
OPP00000013,,ACC007339,Opportunity 13,Qualifizierung,9952.36,11.9,2024-11-15,2024-06-08,Telefonakquise,Bestandskunde - Upgrade,
OPP00000014,,ACC004557,Opportunity 14,Qualifizierung,5203.28,46.9,2021-07-02,2021-05-19,Webseite,Bestandskunde - Upgrade,8233
OPP00000015,15,ACC008284,Opportunity 15,Closed Won,33458.86,100.0,2023-03-11,2022-09-29,Telefonakquise,Bestandskunde - Upgrade,8031
OPP00000016,,ACC011805,Opportunity 16,Closed Lost,23279.45,0.0,2025-09-23,2025-05-24,Webseite,Neukunde,10136
OPP00000017,17,ACC019547,Opportunity 17,Closed Won,46044.84,100.0,2021-05-06,2021-03-09,Social Media,Bestandskunde - Zusatzprodukt,15742
OPP00000018,18,ACC015890,Opportunity 18,Closed Won,2470.24,100.0,2024-11-24,2024-10-10,Empfehlung,Bestandskunde - Upgrade,
OPP00000019,,ACC012118,Opportunity 19,Interessent,24119.89,16.2,2024-03-11,2023-10-02,Social Media,Bestandskunde - Upgrade,
OPP00000020,,ACC016807,Opportunity 20,Verhandlung,20875.96,16.0,2021-12-03,2021-08-18,Social Media,Neukunde,
OPP00000021,,ACC008587,Opportunity 21,Angebot,8220.38,52.1,2022-01-27,2021-12-14,Partner,Bestandskunde - Zusatzprodukt,8572
OPP00000022,22,ACC001857,Opportunity 22,Closed Won,12313.5,100.0,2024-09-08,2024-03-17,Messe,Bestandskunde - Zusatzprodukt,14957
OPP00000023,,ACC019064,Opportunity 23,Interessent,46074.55,63.7,2023-09-27,2023-06-29,Webseite,Bestandskunde - Upgrade,
OPP00000024,24,ACC018008,Opportunity 24,Closed Won,21322.62,100.0,2024-05-30,2024-04-14,Empfehlung,Neukunde,
OPP00000025,,ACC018710,Opportunity 25,Closed Lost,29112.89,0.0,2023-12-14,2023-09-05,Partner,Bestandskunde - Upgrade,13972
OPP00000026,,ACC018647,Opportunity 26,Qualifizierung,39214.71,59.1,2022-04-02,2021-11-06,Empfehlung,Bestandskunde - Upgrade,
